Time,I_Atlas200DK-B,I_Pi-A
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:00,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:01,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:02,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:03,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:04,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:05,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:06,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:07,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:08,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:09,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:10,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:11,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:12,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:13,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:14,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:15,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:16,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:17,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:18,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:19,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:20,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:21,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:22,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:23,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
2023/3/2 00:24,0,0
